case_id,decision_state,predicted_exact_source,gold_root_cause_service,exact_correct,legacy_candidate_family_size,topology_state,gold_fault,gold_repetition
TTCASE-2CC5CC18A62776FD99E7,ABSTAIN,,ts-auth-service,,0,TOPOLOGY_UNDERDETERMINED,loss,2
TTCASE-2ED599FC4D1B1D421CA2,UNDERDETERMINED,,ts-travel-service,,5,TOPOLOGY_UNDERDETERMINED,disk,2
TTCASE-30ABD6862FD396EFB5CD,UNDERDETERMINED,,ts-order-service,,7,TOPOLOGY_UNDERDETERMINED,disk,2
TTCASE-32A9CCE3B303453D7F06,UNDERDETERMINED,,ts-train-service,,2,TOPOLOGY_UNDERDETERMINED,mem,2
TTCASE-331BCCC9F57C654B0322,UNDERDETERMINED,,ts-order-service,,2,TOPOLOGY_UNDERDETERMINED,loss,2
TTCASE-3554AB1DF4314C41D62D,UNDERDETERMINED,,ts-train-service,,10,TOPOLOGY_UNDERDETERMINED,delay,3
TTCASE-3DFA2C4FD110646474A8,UNDERDETERMINED,,ts-order-service,,1,TOPOLOGY_UNDERDETERMINED,socket,3
TTCASE-3EEF9379E6865690E901,UNDERDETERMINED,,ts-order-service,,8,TOPOLOGY_UNDERDETERMINED,delay,2
TTCASE-4AF3039C1D8F51BA711B,UNDERDETERMINED,,ts-travel-service,,9,TOPOLOGY_UNDERDETERMINED,delay,2
TTCASE-4B090A1399BCE340BE7C,UNDERDETERMINED,,ts-train-service,,3,TOPOLOGY_UNDERDETERMINED,loss,3
TTCASE-4CCE35B9624626E8A463,UNDERDETERMINED,,ts-train-service,,6,TOPOLOGY_UNDERDETERMINED,mem,3
TTCASE-4DDC92FEC3DD8FF6D24F,UNDERDETERMINED,,ts-auth-service,,2,TOPOLOGY_UNDERDETERMINED,socket,2
TTCASE-4EF65F81F4D2CC29A7DC,UNDERDETERMINED,,ts-auth-service,,1,TOPOLOGY_UNDERDETERMINED,delay,2
TTCASE-51ADEF20659178E7484B,UNDERDETERMINED,,ts-travel-service,,5,TOPOLOGY_UNDERDETERMINED,disk,3
TTCASE-51B1828137FF808E2127,UNDERDETERMINED,,ts-train-service,,11,TOPOLOGY_UNDERDETERMINED,delay,2
TTCASE-52B7640DA7336EA507DB,UNDERDETERMINED,,ts-travel-service,,2,TOPOLOGY_UNDERDETERMINED,loss,3
TTCASE-54C92674D0AA7A2A7E64,UNDERDETERMINED,,ts-route-service,,12,TOPOLOGY_UNDERDETERMINED,delay,2
TTCASE-5B1FC78AC310ABAB7F9F,UNDERDETERMINED,,ts-train-service,,3,TOPOLOGY_UNDERDETERMINED,cpu,1
TTCASE-5BD5948720168F3217BC,UNDERDETERMINED,,ts-train-service,,23,TOPOLOGY_UNDERDETERMINED,socket,1
TTCASE-68CF0DEE6AF53AA7BE9D,UNDERDETERMINED,,ts-travel-service,,1,TOPOLOGY_UNDERDETERMINED,cpu,1
TTCASE-693B3A59D3D6D7A5B6E1,UNDERDETERMINED,,ts-travel-service,,4,TOPOLOGY_UNDERDETERMINED,socket,3
TTCASE-6C2CAE14B682A5F935EB,EXACT_SOURCE_ENTITLED,ts-travel-service,ts-travel-service,True,1,TOPOLOGY_UNDERDETERMINED,cpu,3
TTCASE-6E5724F2BBDBE06F0F83,UNDERDETERMINED,,ts-travel-service,,3,TOPOLOGY_UNDERDETERMINED,socket,2
TTCASE-70A586841484085C42B3,UNDERDETERMINED,,ts-order-service,,8,TOPOLOGY_UNDERDETERMINED,delay,3
TTCASE-74C71A2703B23FE9F844,UNDERDETERMINED,,ts-auth-service,,2,TOPOLOGY_UNDERDETERMINED,delay,1
TTCASE-7863D8C04EE4942C4860,UNDERDETERMINED,,ts-order-service,,1,TOPOLOGY_UNDERDETERMINED,loss,1
TTCASE-7BFB3A8E36BC8E9A87A0,UNDERDETERMINED,,ts-order-service,,2,TOPOLOGY_UNDERDETERMINED,delay,1
TTCASE-7F0FA1CC3FCA6ABE5742,UNDERDETERMINED,,ts-train-service,,7,TOPOLOGY_UNDERDETERMINED,socket,2
TTCASE-8227AACE5E15B91A2053,UNDERDETERMINED,,ts-travel-service,,2,TOPOLOGY_UNDERDETERMINED,disk,1
TTCASE-843298FC20130F410AD0,UNDERDETERMINED,,ts-route-service,,3,TOPOLOGY_UNDERDETERMINED,loss,1
TTCASE-8631E0EBA74C283009C4,UNDERDETERMINED,,ts-route-service,,7,TOPOLOGY_UNDERDETERMINED,cpu,1
TTCASE-8831F5CE027723A3A5DB,UNDERDETERMINED,,ts-order-service,,3,TOPOLOGY_UNDERDETERMINED,loss,3
TTCASE-8A5AB74C28FEB96F22F4,UNDERDETERMINED,,ts-travel-service,,2,TOPOLOGY_UNDERDETERMINED,loss,2
TTCASE-8B0987ED558581BCD4D9,UNDERDETERMINED,,ts-auth-service,,1,TOPOLOGY_UNDERDETERMINED,delay,3
TTCASE-8B2946E96435FF6E5AF3,UNDERDETERMINED,,ts-route-service,,2,TOPOLOGY_UNDERDETERMINED,loss,2
TTCASE-8ED30782722293BDD390,UNDERDETERMINED,,ts-auth-service,,2,TOPOLOGY_UNDERDETERMINED,socket,3
TTCASE-8EEC9B05B40BD7B799C5,UNDERDETERMINED,,ts-auth-service,,2,TOPOLOGY_UNDERDETERMINED,mem,2
TTCASE-9124DF5B85F93D2D9760,UNDERDETERMINED,,ts-auth-service,,1,TOPOLOGY_UNDERDETERMINED,cpu,3
TTCASE-925C82B520E4FDB251E7,UNDERDETERMINED,,ts-auth-service,,3,TOPOLOGY_UNDERDETERMINED,cpu,1
TTCASE-95BA5EF61741D44A2580,UNDERDETERMINED,,ts-auth-service,,1,TOPOLOGY_UNDERDETERMINED,mem,3
TTCASE-9B3387ADD5A41767BAD7,UNDERDETERMINED,,ts-auth-service,,1,TOPOLOGY_UNDERDETERMINED,disk,1
TTCASE-A006543A6419950A793A,UNDERDETERMINED,,ts-train-service,,8,TOPOLOGY_UNDERDETERMINED,cpu,2
TTCASE-A8123ACD687256523000,UNDERDETERMINED,,ts-travel-service,,8,TOPOLOGY_UNDERDETERMINED,socket,1
TTCASE-A93251568B73FC6598A0,UNDERDETERMINED,,ts-order-service,,3,TOPOLOGY_UNDERDETERMINED,mem,3
TTCASE-A9BDDEF861011409BA3F,UNDERDETERMINED,,ts-route-service,,5,TOPOLOGY_UNDERDETERMINED,mem,2
TTCASE-ADACE2C75B5616411432,UNDERDETERMINED,,ts-travel-service,,3,TOPOLOGY_UNDERDETERMINED,loss,1
TTCASE-ADADFC198A2F3CCDED21,UNDERDETERMINED,,ts-order-service,,1,TOPOLOGY_UNDERDETERMINED,mem,2
TTCASE-AE92A51E181473243CB3,UNDERDETERMINED,,ts-route-service,,2,TOPOLOGY_UNDERDETERMINED,disk,2
TTCASE-B40184C764013E9C1739,UNDERDETERMINED,,ts-route-service,,8,TOPOLOGY_UNDERDETERMINED,delay,3
TTCASE-B441AC697BB6E88CE705,UNDERDETERMINED,,ts-order-service,,7,TOPOLOGY_UNDERDETERMINED,disk,3
TTCASE-B536905CDF2672C585A8,UNDERDETERMINED,,ts-train-service,,4,TOPOLOGY_UNDERDETERMINED,socket,3
TTCASE-B7A96D6EC5FAC945AC3D,ABSTAIN,,ts-auth-service,,0,TOPOLOGY_UNDERDETERMINED,cpu,2
TTCASE-B85186488EFEE3ADC1CD,UNDERDETERMINED,,ts-order-service,,1,TOPOLOGY_UNDERDETERMINED,cpu,2
TTCASE-B9D4B70F8CEB324E2D96,UNDERDETERMINED,,ts-train-service,,5,TOPOLOGY_UNDERDETERMINED,disk,1
TTCASE-BC431241EAC492BE4726,ABSTAIN,,ts-order-service,,0,TOPOLOGY_UNDERDETERMINED,disk,1
TTCASE-C07FB26D73CEF026E7F5,UNDERDETERMINED,,ts-route-service,,2,TOPOLOGY_UNDERDETERMINED,loss,3
TTCASE-C0ED6EF44216B9CB60E3,UNDERDETERMINED,,ts-route-service,,8,TOPOLOGY_UNDERDETERMINED,cpu,2
TTCASE-C20B815C626232583375,UNDERDETERMINED,,ts-travel-service,,4,TOPOLOGY_UNDERDETERMINED,mem,3
TTCASE-C5CEE036ABF97AD3B265,UNDERDETERMINED,,ts-train-service,,3,TOPOLOGY_UNDERDETERMINED,loss,1
TTCASE-C9CBAD0EAE312214EAE8,ABSTAIN,,ts-auth-service,,0,TOPOLOGY_UNDERDETERMINED,disk,3
TTCASE-CB5DF1753537C883A465,ABSTAIN,,ts-auth-service,,0,TOPOLOGY_UNDERDETERMINED,loss,1
TTCASE-D10C160B592D1AFC1D60,UNDERDETERMINED,,ts-order-service,,2,TOPOLOGY_UNDERDETERMINED,mem,1
TTCASE-D11B786CB31DA49876EF,UNDERDETERMINED,,ts-route-service,,5,TOPOLOGY_UNDERDETERMINED,disk,1
TTCASE-D2ADE6FB2B9F2D6FF6C9,UNDERDETERMINED,,ts-travel-service,,2,TOPOLOGY_UNDERDETERMINED,cpu,2
TTCASE-DB0024DBA76D23321118,UNDERDETERMINED,,ts-auth-service,,2,TOPOLOGY_UNDERDETERMINED,disk,2
TTCASE-E0C0A1F7454D96EEFD88,UNDERDETERMINED,,ts-travel-service,,8,TOPOLOGY_UNDERDETERMINED,delay,3
TTCASE-E69741C1EB2B9D1FFD79,UNDERDETERMINED,,ts-route-service,,6,TOPOLOGY_UNDERDETERMINED,mem,1
TTCASE-F20FC1184DD13E62CFDC,UNDERDETERMINED,,ts-route-service,,9,TOPOLOGY_UNDERDETERMINED,cpu,3
TTCASE-FC18E610D48511ED7312,UNDERDETERMINED,,ts-train-service,,4,TOPOLOGY_UNDERDETERMINED,mem,1
TTCASE-FC3BA0E135A6A3E04777,UNDERDETERMINED,,ts-travel-service,,7,TOPOLOGY_UNDERDETERMINED,mem,1
TTCASE-FE0E2EDD5533185AC4D7,UNDERDETERMINED,,ts-train-service,,4,TOPOLOGY_UNDERDETERMINED,disk,2
TTCASE-FEB7A610CE7C09340FC9,UNDERDETERMINED,,ts-travel-service,,10,TOPOLOGY_UNDERDETERMINED,delay,1
